,Заглавие:,Автор: ,Категория:,Номер: ,Издадена:,Език:
181,Введение в современную теорию дифференциальных уравнений в частных производных,Я.Б.Лопатинский,Частни диференциални уравнения,,1980,ру
182,Интегральные представления функций и теоремы вложения,"О.В.Бесов, В.П.Ильин, С.М.Никольский",Частни диференциални уравнения,,1975,ру
183,Оценки решений еллиптических уравнений вблизи границы,"С.Агмон,А.Дуглис,Л.Ниренберг",Частни диференциални уравнения,,1962,ру
184,Теория гиперфункций,П.Шапира,Частни диференциални уравнения,,1972,
185,Линейны автоматические системи с перемеными параметрами,"А. В. Солодоров, Ф.С. Петров",Частни диференциални уравнения,,1971,
186,Введение в общую теорию сингулярнах возмущений,С. А. Ломов,Частни диференциални уравнения,,1982,
187,Нееднородные граничные задачи и их приложения,Ж. Л. Лионс,Частни диференциални уравнения,,1971,
188,Нееднородные граничные задачи и их приложения,Ж. Л. Лионс,Частни диференциални уравнения,,1971,
189,Основные диффернциальные уравнения матечатической физики,"Н.С. Кошляков, Е. Б. Глинер",Частни диференциални уравнения,,1962,
190,Устойчивостъ нелинейных систем с неединственым состоянием равновесия,А. Х. Гелиг,Частни диференциални уравнения,,1978,
,,,,,,
191,Числа Фибоначчи,Н.Н.Воробьев,Теория на числата,,1978,ру
192,Введение в аналитическую теорию чисел,А.Г. Постников,Теория на числата,,1971,ру
193,Теория Чисел,"З.И.Боревич, И.Р.Шафаревич",Теория на числата,,1972,ру
194,Теория Нумераций,Ю.Л.Ершов,Теория на числата,,1977,ру
195,Алгебрическая теория чисел,"Дж. Касселса, А. Фрейлиха",Теория на числата,,1969,ру
196,Увод в теория на числата,Т. Нагел,Теория на числата,,1971,бг
197,Элементарные методы в аналитической теории чисел,"А.О.Гельфонд, Ю.В.Линик",Теория на числата,,1962,ру
198,Основы теории чисел,И.М.Виноградов,Теория на числата,,1972,ру
199,Теория чисел,А.А.Бухштаб,Теория на числата,,1960,ру
,,,,,,
200,Задачник по алгебре,В.А.Кречмар,Алгебра,,1959,ру
201,Сборник задач по линейной алгебре,,Алгебра,,1980,ру
202,Линейная Алгебра,В.В.Воеводин,Алгебра,,1974,ру
203,Лекции по общей алгебре,А.Г.Курош,Алгебра,,1973,ру
204,Разположение по собственным функциям самосопряженных оператов,Ю.М.Березанский,Алгебра,,1965,ру
205,Задачи на собственные,Л.Коллатц,Алгебра,,1968,ру
206,Линейная Алгебра,Дж.Хедли,Алгебра,,1966,ру
207,Линейная Алгебра,В.В.Воеводин,Алгебра,,1980,ру
208,Обзор по теории матриц и матричных неравенств,,Алгебра,,1972,ру
209,Распределение собственных значений,"А.Г.Костюченко, И.С.Саргсян",Алгебра,,1979,ру
210,Основы линейной алгебры,А.И.Мальцев,Алгебра,,1975,ру
211,Коммутативные нормированные кольца,"М.М.Гельфанд, Д.А. Райков, Г.Е.Шилов",Алгебра,,1960,ру
212,Очерки по конструктивной математике,П.Мартин-Леф,Алгебра,,1975,ру
213,Абелевы l-адические представления и еллиптические кривые,Ж.П.Сеер,Алгебра,,1973,ру
214,Некоммутативные кольца,И.Херстейн,Алгебра,,1972,ру
215,Сборник задач по линейной алгебре,И.В.Проскуряков,Алгебра,,1962,ру
,,,,,,
216,Сборник задач по математике для втузов / ла + ма,"А.В. Ефимова, Б.П.Демидовича",ЛА МА,,1981,ру
217,Числовые системы,С.Феферман,ЛА МА,,1971,ру
218,Лекции по алгебре и елементарным функциям,"М.К.Потапов, В.В.Александров, П.И.Пасиченко",ЛА МА,,1978,ру
219,Сборник задач по алгебре и елементарным функциям,"А.И.Худобин, Н.И.Худобин, М.Ф.Шуршалов",ЛА МА,,1966,ру
220,Алгебра и начала анализа,В.С.Крамор,ЛА МА,,1981,ру
221,Алгебра и начала анализа,А.Г.Мордкович,ЛА МА,,1979,ру
,,,,,,
222,Практические занятия по математике,Н.В.Богомолов,Обща математика,,1983,ру
223,Сборник задач по математике для втузов / математиского анализа,"А.В. Ефимова, Б.П.Демидовича",Обща математика,,1981,ру
224,Ръководство за решаване на задачи по висша математика за ВИЗВМ - Ст. Загора,"Г.Бойчев, Н.Воева",Обща математика,,1989,бг
225,Современная математика,"Р.Фор, А.Кофман, М.Дени-Папен",Обща математика,,1966,ру
226,Методическо ръководство за решаване на задачи по висша математика,"Д.Байнов, Вл.Велчев, И.Христова",Обща математика,,1978,бг
227,Курс высшей математике (1ва част),"С.В.Фрослов, Р.Я.Шостак",Обща математика,,1973,ру
228,Курс высшей математике (2ра част),"С.В.Фрослов, Р.Я.Шостак",Обща математика,,1973,ру
229,Сборник задач по высшей математике,В.П.Минорский,Обща математика,,1961,ру
230,Пособие к решению задач по высшей математике,А.А.Гусак,Обща математика,,1973,ру
231,Высшая математика,"Я.С.Бургов, С.М.Никольский",Обща математика,,1981,ру
232,Высшая математика в упражнениях и задачах,"П.Е.Данко, А.Г.Попов, Т.Я.Кожевникова",Обща математика,,1980,ру
233,Сборник задач и упражнений по высшей математике,А.А.Гусак,Обща математика,,1980,ру
234,Высшая математика в упражнениях и задачах ( 3та част ),"П.Е.Данко, А.Г.Попов, Т.Я.Кожевникова",Обща математика,,1971,ру
235,Висша математика,"Венера Димова-Нанчева, Николай Стоянов",Обща математика,,,бг
236,Методическо ръководство за решаване на задачи по висша математика (1ва част ),"Пламен Паскалев, Капка Димитрова, Цанко Дончев",Обща математика,,2006,бг
